NumberWithDash,EPM_ProductionControlItemID,EPM_MainMark,EPM_InstanceNumber,Assembly_MainPieceProductionCode,Assembly_MainPartLengthFt,Assembly_WeightEachLbs,Assembly_SurfaceAreaEachSqFt,Assembly_MainPartShape,Assembly_MainPartDimension,Assembly_MainPartFinishDescr,Assembly_TotalQuantityInJob,Assembly_NumSmallParts,EPM_AdjustedStationName,TimeInSeconds_ThisWorkSegment,Assembly_EstTotalHours_ThisLaborGroup
23-038,792750,B325,1,BEAM,15.58,498.498,92.73,W,14 x 22,"D - Steel, Paint All",1,3,Material Handling,3,0.9477899999999999
23-038,792750,B325,1,BEAM,15.58,498.498,92.73,W,14 x 22,"D - Steel, Paint All",1,3,Weld,135,0.0
23-038,792780,B333,1,BEAM,17.07,548.533,102.08,W,14 x 22,"D - Steel, Paint All",1,5,Fab/Layout,9237,3.2331000000000003
23-038,792780,B333,1,BEAM,17.07,548.533,102.08,W,14 x 22,"D - Steel, Paint All",1,5,Material Handling,4,1.89535
23-038,792780,B333,1,BEAM,17.07,548.533,102.08,W,14 x 22,"D - Steel, Paint All",1,5,Weld,9653,1.12936
23-038,792786,B335,1,BEAM,12.28,396.312,73.78,W,14 x 22,"D - Steel, Paint All",1,5,Fab/Layout,7799,7.3654199999999985
23-038,792786,B335,1,BEAM,12.28,396.312,73.78,W,14 x 22,"D - Steel, Paint All",1,5,Material Handling,8,1.48205
23-038,792786,B335,1,BEAM,12.28,396.312,73.78,W,14 x 22,"D - Steel, Paint All",1,5,Weld,9051,0.9607000000000001
23-038,792792,B337,1,BEAM,18.04,576.583,107.24,W,14 x 22,"D - Steel, Paint All",1,7,Fab/Layout,310,3.9170499999999997
23-038,792792,B337,1,BEAM,18.04,576.583,107.24,W,14 x 22,"D - Steel, Paint All",1,7,Material Handling,4,1.6388000000000003
23-038,792792,B337,1,BEAM,18.04,576.583,107.24,W,14 x 22,"D - Steel, Paint All",1,7,Weld,519,1.1746
23-038,792805,B341,1,BEAM,15.42,496.171,92.35,W,14 x 22,"D - Steel, Paint All",1,7,Fab/Layout,4126,30.744480000000003
23-038,792805,B341,1,BEAM,15.42,496.171,92.35,W,14 x 22,"D - Steel, Paint All",1,7,Material Handling,3,1.6090200000000001
23-038,792805,B341,1,BEAM,15.42,496.171,92.35,W,14 x 22,"D - Steel, Paint All",1,7,Weld,5126,1.8655599999999999
23-038,792811,B343,1,BEAM,6.32,203.404,37.86,W,14 x 22,"D - Steel, Paint All",1,3,Fab/Layout,1129,6.818099999999999
23-038,792811,B343,1,BEAM,6.32,203.404,37.86,W,14 x 22,"D - Steel, Paint All",1,3,Material Handling,11,1.32042
23-038,792811,B343,1,BEAM,6.32,203.404,37.86,W,14 x 22,"D - Steel, Paint All",1,3,Weld,1725,0.19492
23-038,792834,B358,1,BEAM,47.58,2785.941,317.58,W,24 x 55,N - No Paint,1,23,Fab/Layout,1814,0.0
23-038,792865,B375,1,BEAM,15.35,494.439,92.03,W,14 x 22,"D - Steel, Paint All",1,7,Fab/Layout,3587,13.442839999999999
23-038,792865,B375,1,BEAM,15.35,494.439,92.03,W,14 x 22,"D - Steel, Paint All",1,7,Material Handling,7,1.5029400000000002
23-038,792865,B375,1,BEAM,15.35,494.439,92.03,W,14 x 22,"D - Steel, Paint All",1,7,Weld,4592,2.12644
